n =  100 ,p =  0.95 ,p log(n)/n =  0.04374911676688687 ,Times connected  95
n =  100 ,p =  0.98 ,p log(n)/n =  0.045130667822683296 ,Times connected  96
n =  100 ,p =  1.02 ,p log(n)/n =  0.04697273589707854 ,Times connected  98
n =  100 ,p =  1.05 ,p log(n)/n =  0.04835428695287496 ,Times connected  98
n =  200 ,p =  0.95 ,p log(n)/n =  0.02516700749110317 ,Times connected  100
n =  200 ,p =  0.98 ,p log(n)/n =  0.025961755096085375 ,Times connected  99
n =  200 ,p =  1.02 ,p log(n)/n =  0.027021418569394984 ,Times connected  100
n =  200 ,p =  1.05 ,p log(n)/n =  0.02781616617437719 ,Times connected  100
n =  400 ,p =  0.95 ,p log(n)/n =  0.014229728299381456 ,Times connected  100
n =  400 ,p =  0.98 ,p log(n)/n =  0.014679088140414555 ,Times connected  97
n =  400 ,p =  1.02 ,p log(n)/n =  0.015278234595125353 ,Times connected  100
n =  400 ,p =  1.05 ,p log(n)/n =  0.015727594436158454 ,Times connected  100
n =  800 ,p =  0.95 ,p log(n)/n =  0.007937976426605663 ,Times connected  100
n =  800 ,p =  0.98 ,p log(n)/n =  0.00818864936639321 ,Times connected  100
n =  800 ,p =  1.02 ,p log(n)/n =  0.008522879952776608 ,Times connected  100
n =  800 ,p =  1.05 ,p log(n)/n =  0.008773552892564155 ,Times connected  100
n =  1600 ,p =  0.95 ,p log(n)/n =  0.0043805443517603 ,Times connected  100
n =  1600 ,p =  0.98 ,p log(n)/n =  0.004518877331289572 ,Times connected  100
n =  1600 ,p =  1.02 ,p log(n)/n =  0.004703321303995269 ,Times connected  100
n =  1600 ,p =  1.05 ,p log(n)/n =  0.0048416542835245414 ,Times connected  100
